日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-09-14,342.54,348.00,338.06,339.76,-2.76,-0.81,"28,449","97,464",2.90,0.47
2021-09-13,340.63,349.99,340.00,342.52,1.09,0.32,"33,938","117,028",2.93,0.56
2021-09-10,340.50,343.66,336.00,341.43,0.93,0.27,"26,069","88,617",2.25,0.43
2021-09-09,340.48,345.00,336.25,340.50,-0.72,-0.21,"21,055","71,732",2.56,0.35
2021-09-08,346.04,348.50,338.68,341.22,-2.44,-0.71,"26,736","91,409",2.86,0.44
2021-09-07,349.00,352.00,340.66,343.66,-4.33,-1.24,"39,392","136,026",3.26,0.65
2021-09-06,326.35,353.00,326.35,347.99,19.24,5.85,"56,713","195,582",8.11,0.94
2021-09-03,328.00,336.00,318.56,328.75,-2.82,-0.85,"42,844","140,806",5.26,0.71
2021-09-02,347.00,349.65,328.01,331.57,-15.57,-4.49,"54,707","184,245",6.23,0.91
2021-09-01,347.87,356.19,337.36,347.14,0.09,0.03,"41,585","143,979",5.43,0.69
2021-08-31,355.80,356.95,344.00,347.05,-7.36,-2.08,"39,937","139,053",3.65,0.66
2021-08-30,358.00,361.88,347.50,354.41,-7.29,-2.02,"39,852","141,266",3.98,0.66
2021-08-27,361.65,370.91,360.32,361.70,0.04,0.01,"29,917","109,212",2.93,0.50
2021-08-26,371.99,372.55,359.00,361.66,-12.51,-3.34,"35,753","129,927",3.62,0.59
2021-08-25,373.20,379.00,370.00,374.17,3.47,0.94,"32,859","123,407",2.43,0.54
2021-08-24,374.00,377.00,366.00,370.70,2.15,0.58,"37,994","140,714",2.98,0.63
2021-08-23,346.70,372.00,343.01,368.55,21.85,6.30,"66,644","241,142",8.36,1.10
2021-08-20,370.00,372.83,342.22,346.70,-31.64,-8.36,"82,079","291,780",8.09,1.36
2021-08-19,375.42,382.76,371.17,378.34,2.91,0.78,"36,096","135,789",3.09,0.60
2021-08-18,365.00,378.88,364.01,375.43,4.53,1.22,"33,959","126,424",4.01,0.56
2021-08-17,387.00,391.69,368.00,370.90,-17.17,-4.42,"49,313","185,677",6.10,0.82
2021-08-16,383.00,394.58,375.60,388.07,1.01,0.26,"32,564","125,748",4.90,0.54
2021-08-13,391.00,394.13,384.00,387.06,-1.95,-0.50,"25,923","100,559",2.60,0.43
2021-08-12,394.32,399.84,388.00,389.01,-5.67,-1.44,"33,552","131,829",3.00,0.56
2021-08-11,390.90,398.88,387.10,394.68,3.67,0.94,"46,350","182,530",3.01,0.77
2021-08-10,379.29,392.16,374.00,391.01,11.72,3.09,"55,963","215,114",4.79,0.93
2021-08-09,372.20,384.66,372.20,379.29,3.28,0.87,"35,419","133,968",3.31,0.59
2021-08-06,376.01,384.99,372.21,376.01,-4.97,-1.30,"36,011","135,829",3.35,0.60
2021-08-05,370.02,391.77,368.01,380.98,6.48,1.73,"57,938","222,224",6.34,0.96
2021-08-04,374.01,382.99,370.00,374.50,-3.57,-0.94,"42,758","160,075",3.44,0.71
2021-08-03,367.00,384.90,364.21,378.07,5.27,1.41,"61,083","229,389",5.55,1.01
2021-08-02,357.50,378.89,336.30,372.80,6.80,1.86,"94,314","335,957",11.64,1.56
2021-07-30,377.50,377.50,357.63,366.00,-15.79,-4.14,"67,349","244,841",5.20,1.12
2021-07-29,384.00,394.99,378.00,381.79,3.77,1.00,"79,224","305,399",4.49,1.31
2021-07-28,352.50,378.80,349.50,378.02,17.04,4.72,"98,155","361,193",8.12,1.63
2021-07-27,376.00,387.45,360.88,360.98,-30.39,-7.77,"106,992","400,395",6.79,1.77
2021-07-26,408.00,408.00,374.94,391.37,-25.23,-6.06,"135,801","522,299",7.94,2.25
2021-07-23,430.04,432.00,406.00,416.60,-24.18,-5.49,"126,203","525,288",5.90,2.09
2021-07-22,475.03,475.03,440.78,440.78,-48.98,-10.00,"138,468","626,518",6.99,2.30
2021-07-21,467.80,491.88,467.80,489.76,22.74,4.87,"51,670","250,870",5.16,0.86
2021-07-20,466.93,469.33,460.06,467.02,-1.84,-0.39,"36,975","171,792",1.98,0.61
2021-07-19,433.25,470.00,433.11,468.86,34.50,7.94,"76,867","352,912",8.49,1.27
2021-07-16,441.00,445.00,432.37,434.36,-7.64,-1.73,"34,872","152,799",2.86,0.58
2021-07-15,423.98,443.35,420.01,442.00,18.00,4.25,"53,093","231,462",5.50,0.88
2021-07-14,420.00,429.84,412.00,424.00,2.33,0.55,"42,490","179,986",4.23,0.70
2021-07-13,422.00,434.80,418.67,421.67,-2.08,-0.49,"39,977","169,860",3.81,0.66
2021-07-12,438.11,439.78,401.95,423.75,-8.30,-1.92,"64,933","273,392",8.76,1.08
2021-07-09,439.00,443.32,425.00,432.05,-12.92,-2.90,"47,269","204,699",4.12,0.78
2021-07-08,444.05,454.50,440.50,444.97,-0.93,-0.21,"41,577","186,740",3.14,0.69
2021-07-07,433.50,450.46,431.52,445.90,-0.10,-0.02,"51,050","226,551",4.25,0.85
2021-07-06,460.98,462.00,415.14,446.00,-10.62,-2.33,"96,369","418,354",10.26,1.60
2021-07-05,438.00,458.68,433.33,456.62,15.62,3.54,"50,184","225,649",5.75,0.83
2021-07-02,455.80,455.80,437.92,441.00,-15.58,-3.41,"47,573","211,524",3.92,0.79
2021-07-01,450.50,463.00,450.49,456.58,8.28,1.85,"49,160","224,923",2.79,0.81
